source,text,rating
survey,The welcome checklist made setup intuitive even for my partner. Impressed so far.,4
review,"Smooth and reliable on my old phone, well optimized. Five stars.",4
ticket,Daily digest would be better than constant alerts. It's overwhelming.,2
review,Signed up yesterday and I'm already fully set up. Great first experience. Great job!,5
review,"My tasks vanish after syncing, this is the third time. I might cancel my subscription.",1
survey,Please add global search across all workspaces. Would make it perfect.,3
ticket,I don't understand what the premium plan actually includes. Very confusing.,3
review,Sync failed again and I lost my notes from yesterday. I might cancel my subscription.,2
ticket,The mobile app keeps losing my data when I sync between devices. Really frustrating.,1
survey,Daily digest would be better than constant alerts. It's overwhelming.,2
review,Push notifications are annoying and there's no granular mute option. Considering turning them all off.,2
ticket,Why did my price go up without any notice? Very confusing.,3
survey,"The billing page is impossible to navigate, I just want a refund. Please clarify.",1
review,How do I contact support?,
review,"The setup wizard was so easy, I had everything running in five minutes. Well done team.",5
survey,"The billing page is impossible to navigate, I just want a refund. Not happy about this.",1
survey,"Search is too basic, no fuzzy matching so typos return nothing. This is my top request.",4
ticket,Why did my price go up without any notice? Make pricing simpler.,1
survey,Got charged twice this month and can't find where to see my invoices. Very confusing.,3
survey,"Just downloaded the app, will report back.",
survey,Got charged twice this month and can't find where to see my invoices. Very confusing.,2
survey,I don't understand what the premium plan actually includes. Make pricing simpler.,2
survey,Using this for my book club.,5
survey,Got charged twice this month and can't find where to see my invoices. Support hasn't replied.,1
review,Performance is excellent compared to the competitors I tried. Recommending to friends.,5
survey,"I want notifications for mentions only, not everything. Otherwise good product.",4
survey,"Would love filters in search — by date, by person, by tag. Happy to beta test.",4
ticket,The logo colors look different on Android.,
ticket,The mobile app keeps losing my data when I sync between devices. This is unacceptable.,2
ticket,Sync failed again and I lost my notes from yesterday. I might cancel my subscription.,2
survey,"The reminder emails are relentless, let me control the frequency. Needs work.",4
review,"Fast, clean, and it just works. Five stars.",4
review,Please add global search across all workspaces. Hope this is on the roadmap.,4
review,"Loads instantly even with hundreds of tasks, very impressed. Solid app.",4
survey,"Would love filters in search — by date, by person, by tag. Happy to beta test.",4
review,"I want notifications for mentions only, not everything. Please add settings for this.",4
review,"Search results ordering makes no sense, newest should come first. Would make it perfect.",3
survey,"Way too many notifications, I get pinged for every tiny update. Considering turning them all off.",2
review,"Would love filters in search — by date, by person, by tag. Would make it perfect.",3
survey,Using this for my book club.,4
review,The mobile app keeps losing my data when I sync between devices. I might cancel my subscription.,2
ticket,The mobile app keeps losing my data when I sync between devices. Really frustrating.,1
ticket,"Calendar sync is broken since the last update, events just disappear. I might cancel my subscription.",2
review,Signed up yesterday and I'm already fully set up. Great first experience. Great job!,5
survey,"The setup wizard was so easy, I had everything running in five minutes. Well done team.",5
survey,"The setup wizard was so easy, I had everything running in five minutes. Well done team.",4
survey,"Search is too basic, no fuzzy matching so typos return nothing. Hope this is on the roadmap.",4
ticket,Using this for my book club.,
review,Signed up yesterday and I'm already fully set up. Great first experience. Best onboarding I've seen.,5
review,"Calendar sync is broken since the last update, events just disappear. Losing trust fast.",2
survey,Why did my price go up without any notice? Make pricing simpler.,2
review,"Sync conflict destroyed my shopping list, no way to recover it. This is unacceptable.",1
review,Love how the onboarding walks you through creating your first project. Best onboarding I've seen.,5
review,"My tasks vanish after syncing, this is the third time. Really frustrating.",2
ticket,"Way too many notifications, I get pinged for every tiny update. Please add settings for this.",4
ticket,"My tasks vanish after syncing, this is the third time. Really frustrating.",1
ticket,"My tasks vanish after syncing, this is the third time. Really frustrating.",2
survey,"I want notifications for mentions only, not everything. Considering turning them all off.",4
review,"My tasks vanish after syncing, this is the third time. Losing trust fast.",1
review,"I want notifications for mentions only, not everything. Needs work.",2
survey,"The setup wizard was so easy, I had everything running in five minutes. Best onboarding I've seen.",4
ticket,The mobile app keeps losing my data when I sync between devices. This is unacceptable.,1
review,"The app is noticeably faster after the update, great work. Keep it up!",5
survey,"Would love filters in search — by date, by person, by tag. This is my top request.",4
ticket,"The reminder emails are relentless, let me control the frequency. It's overwhelming.",4
ticket,The mobile app keeps losing my data when I sync between devices. Really frustrating.,2
survey,"Search can't find items in archived projects, please add that. Would make it perfect.",4
review,The mobile app keeps losing my data when I sync between devices. Please fix this!,1
review,Signed up yesterday and I'm already fully set up. Great first experience. Best onboarding I've seen.,4
ticket,The logo colors look different on Android.,
ticket,Daily digest would be better than constant alerts. Otherwise good product.,3
survey,"The setup wizard was so easy, I had everything running in five minutes. Keep it up.",4
review,Signed up yesterday and I'm already fully set up. Great first experience. Best onboarding I've seen.,5
ticket,Using this for my book club.,
ticket,"I want notifications for mentions only, not everything. Needs work.",4
survey,Does this integrate with my smart fridge?,
review,"Loads instantly even with hundreds of tasks, very impressed. Five stars.",4
review,"Smooth and reliable on my old phone, well optimized. Recommending to friends.",5
review,"Would love filters in search — by date, by person, by tag. Happy to beta test.",3
review,"Loads instantly even with hundreds of tasks, very impressed. Five stars.",5
review,"Fast, clean, and it just works. Five stars.",5
ticket,Daily digest would be better than constant alerts. Considering turning them all off.,3
ticket,First!,4
survey,The welcome checklist made setup intuitive even for my partner. Well done team.,5
survey,Why did my price go up without any notice? Make pricing simpler.,2
survey,Love how the onboarding walks you through creating your first project. Best onboarding I've seen.,4
survey,Is there a student discount?,
ticket,Got charged twice this month and can't find where to see my invoices. Please clarify.,2
review,"The app is noticeably faster after the update, great work. No complaints.",4
review,"Search can't find items in archived projects, please add that. Would make it perfect.",4
survey,"Getting started was seamless, the tutorial is excellent. Keep it up.",4
review,"Sync conflict destroyed my shopping list, no way to recover it. Please fix this!",2
review,The welcome checklist made setup intuitive even for my partner. Great job!,5
review,"I want notifications for mentions only, not everything. It's overwhelming.",3
ticket,"I want notifications for mentions only, not everything. Needs work.",3
review,"The app is noticeably faster after the update, great work. Keep it up!",5
review,Performance is excellent compared to the competitors I tried. Solid app.,5
review,The welcome checklist made setup intuitive even for my partner. Keep it up.,5
review,"Loads instantly even with hundreds of tasks, very impressed. Five stars.",5
survey,"Search can't find items in archived projects, please add that. This is my top request.",4
survey,"The setup wizard was so easy, I had everything running in five minutes. Well done team.",5
survey,Love how the onboarding walks you through creating your first project. Well done team.,5
review,"The setup wizard was so easy, I had everything running in five minutes. Keep it up.",4
review,"Search can't find items in archived projects, please add that. Otherwise loving it.",3
review,"Fast, clean, and it just works. Recommending to friends.",5
survey,"Getting started was seamless, the tutorial is excellent. Great job!",4
review,"Loads instantly even with hundreds of tasks, very impressed. No complaints.",4
review,"Calendar sync is broken since the last update, events just disappear. Please fix this!",2
ticket,"Way too many notifications, I get pinged for every tiny update. Considering turning them all off.",2
review,The logo colors look different on Android.,5
survey,"Search is too basic, no fuzzy matching so typos return nothing. Happy to beta test.",3
ticket,Daily digest would be better than constant alerts. Please add settings for this.,4
ticket,"The billing page is impossible to navigate, I just want a refund. Please clarify.",1
review,"Way too many notifications, I get pinged for every tiny update. Needs work.",4
review,"I want notifications for mentions only, not everything. Please add settings for this.",2
survey,"Getting started was seamless, the tutorial is excellent. Impressed so far.",4
ticket,The difference between the family plan and duo plan is confusing. Very confusing.,2
survey,"The setup wizard was so easy, I had everything running in five minutes. Well done team.",5
review,"Getting started was seamless, the tutorial is excellent. Keep it up.",5
review,Please add global search across all workspaces. Would make it perfect.,4
review,"Smooth and reliable on my old phone, well optimized. Five stars.",5
review,Performance is excellent compared to the competitors I tried. Keep it up!,5
ticket,Why did my price go up without any notice? Not happy about this.,2
survey,The difference between the family plan and duo plan is confusing. Support hasn't replied.,3
review,Performance is excellent compared to the competitors I tried. Solid app.,5
survey,"The setup wizard was so easy, I had everything running in five minutes. Well done team.",5
review,Performance is excellent compared to the competitors I tried. Recommending to friends.,5
review,Please add global search across all workspaces. This is my top request.,4
review,"Search results ordering makes no sense, newest should come first. Happy to beta test.",3
review,"My tasks vanish after syncing, this is the third time. Please fix this!",1
survey,Signed up yesterday and I'm already fully set up. Great first experience. Impressed so far.,5
review,Push notifications are annoying and there's no granular mute option. It's overwhelming.,2
survey,"Getting started was seamless, the tutorial is excellent. Best onboarding I've seen.",5
review,Signed up yesterday and I'm already fully set up. Great first experience. Keep it up.,5
survey,"Would love filters in search — by date, by person, by tag. Otherwise loving it.",4
survey,Daily digest would be better than constant alerts. Needs work.,3
survey,"Getting started was seamless, the tutorial is excellent. Keep it up.",4
review,"Getting started was seamless, the tutorial is excellent. Great job!",5
ticket,Sync failed again and I lost my notes from yesterday. This is unacceptable.,1
ticket,"Sync conflict destroyed my shopping list, no way to recover it. Losing trust fast.",1
ticket,I don't understand what the premium plan actually includes. Support hasn't replied.,3
survey,"Search is too basic, no fuzzy matching so typos return nothing. Happy to beta test.",4
review,"Would love filters in search — by date, by person, by tag. This is my top request.",3
survey,Love how the onboarding walks you through creating your first project. Well done team.,5
review,"Search results ordering makes no sense, newest should come first. Happy to beta test.",3
review,Sync failed again and I lost my notes from yesterday. This is unacceptable.,1
ticket,"My tasks vanish after syncing, this is the third time. Really frustrating.",2
survey,Got charged twice this month and can't find where to see my invoices. Very confusing.,2
ticket,Daily digest would be better than constant alerts. Please add settings for this.,4
review,"Search results ordering makes no sense, newest should come first. This is my top request.",3
ticket,Got charged twice this month and can't find where to see my invoices. Very confusing.,1
review,Daily digest would be better than constant alerts. It's overwhelming.,3
review,"Search is too basic, no fuzzy matching so typos return nothing. This is my top request.",3
ticket,"My tasks vanish after syncing, this is the third time. Please fix this!",2
ticket,Sync failed again and I lost my notes from yesterday. I might cancel my subscription.,1
review,"The app is noticeably faster after the update, great work. No complaints.",5
review,"The app is noticeably faster after the update, great work. Solid app.",4
ticket,Daily digest would be better than constant alerts. Otherwise good product.,3
review,"Loads instantly even with hundreds of tasks, very impressed. Solid app.",5
survey,"Search can't find items in archived projects, please add that. Would make it perfect.",4
ticket,"Way too many notifications, I get pinged for every tiny update. Needs work.",2
ticket,Push notifications are annoying and there's no granular mute option. It's overwhelming.,4
ticket,Daily digest would be better than constant alerts. Needs work.,3
review,Sync failed again and I lost my notes from yesterday. This is unacceptable.,1
ticket,Why did my price go up without any notice? Very confusing.,3
survey,Please add global search across all workspaces. Happy to beta test.,3
review,The welcome checklist made setup intuitive even for my partner. Well done team.,5
survey,Please add global search across all workspaces. Hope this is on the roadmap.,3
survey,I don't understand what the premium plan actually includes. Very confusing.,1
review,Performance is excellent compared to the competitors I tried. Recommending to friends.,5
review,"Smooth and reliable on my old phone, well optimized. Solid app.",4
review,Please add global search across all workspaces. Would make it perfect.,4
review,Love how the onboarding walks you through creating your first project. Keep it up.,5
review,The mobile app keeps losing my data when I sync between devices. Really frustrating.,2
survey,What time zone does the server use?,5
review,Performance is excellent compared to the competitors I tried. Five stars.,4
review,The mobile app keeps losing my data when I sync between devices. Please fix this!,2
ticket,Got charged twice this month and can't find where to see my invoices. Please clarify.,1
ticket,I don't understand what the premium plan actually includes. Not happy about this.,1
survey,Love how the onboarding walks you through creating your first project. Well done team.,4
ticket,Why did my price go up without any notice? Support hasn't replied.,2
review,"Sync conflict destroyed my shopping list, no way to recover it. I might cancel my subscription.",1
ticket,"The billing page is impossible to navigate, I just want a refund. Support hasn't replied.",2
ticket,Daily digest would be better than constant alerts. Otherwise good product.,4
review,"Way too many notifications, I get pinged for every tiny update. It's overwhelming.",4
survey,"The billing page is impossible to navigate, I just want a refund. Please clarify.",2
survey,Push notifications are annoying and there's no granular mute option. Needs work.,3
ticket,What time zone does the server use?,
survey,First!,
review,Sync failed again and I lost my notes from yesterday. Please fix this!,2
ticket,"Calendar sync is broken since the last update, events just disappear. Really frustrating.",2
review,The mobile app keeps losing my data when I sync between devices. Losing trust fast.,1
ticket,"Calendar sync is broken since the last update, events just disappear. This is unacceptable.",1
review,"Smooth and reliable on my old phone, well optimized. Keep it up!",5
survey,The welcome checklist made setup intuitive even for my partner. Well done team.,4
ticket,"Sync conflict destroyed my shopping list, no way to recover it. Please fix this!",2
review,Performance is excellent compared to the competitors I tried. No complaints.,4
review,"The app is noticeably faster after the update, great work. Solid app.",4
review,"Calendar sync is broken since the last update, events just disappear. This is unacceptable.",2
ticket,The mobile app keeps losing my data when I sync between devices. Please fix this!,1
survey,"The setup wizard was so easy, I had everything running in five minutes. Impressed so far.",4
survey,"Way too many notifications, I get pinged for every tiny update. Considering turning them all off.",2
ticket,The mobile app keeps losing my data when I sync between devices. Losing trust fast.,1
review,"Search is too basic, no fuzzy matching so typos return nothing. Hope this is on the roadmap.",4
review,"Would love filters in search — by date, by person, by tag. This is my top request.",3
review,"Fast, clean, and it just works. Keep it up!",4
survey,Got charged twice this month and can't find where to see my invoices. Very confusing.,2
survey,Is there a student discount?,3
ticket,"Way too many notifications, I get pinged for every tiny update. Otherwise good product.",4
review,"Smooth and reliable on my old phone, well optimized. No complaints.",4
survey,"Way too many notifications, I get pinged for every tiny update. Please add settings for this.",3
ticket,"Way too many notifications, I get pinged for every tiny update. Considering turning them all off.",3
ticket,Got charged twice this month and can't find where to see my invoices. Make pricing simpler.,1
ticket,The mobile app keeps losing my data when I sync between devices. I might cancel my subscription.,1
ticket,I don't understand what the premium plan actually includes. Please clarify.,1
survey,Why did my price go up without any notice? Make pricing simpler.,2
ticket,Got charged twice this month and can't find where to see my invoices. Please clarify.,1
survey,I don't understand what the premium plan actually includes. Make pricing simpler.,2
review,Please add global search across all workspaces. This is my top request.,3
ticket,The difference between the family plan and duo plan is confusing. Please clarify.,1
ticket,Got charged twice this month and can't find where to see my invoices. Support hasn't replied.,2
survey,"The billing page is impossible to navigate, I just want a refund. Not happy about this.",1
survey,I don't understand what the premium plan actually includes. Support hasn't replied.,2
review,"Search can't find items in archived projects, please add that. Happy to beta test.",4
review,"My tasks vanish after syncing, this is the third time. Really frustrating.",1
review,"Fast, clean, and it just works. No complaints.",4
review,Daily digest would be better than constant alerts. Considering turning them all off.,3
review,Performance is excellent compared to the competitors I tried. Solid app.,4
survey,Love how the onboarding walks you through creating your first project. Impressed so far.,5
ticket,"My tasks vanish after syncing, this is the third time. I might cancel my subscription.",2
survey,Please add global search across all workspaces. Hope this is on the roadmap.,3
review,Daily digest would be better than constant alerts. It's overwhelming.,2
ticket,I don't understand what the premium plan actually includes. Make pricing simpler.,2
review,Sync failed again and I lost my notes from yesterday. Losing trust fast.,1
review,"Smooth and reliable on my old phone, well optimized. No complaints.",5
review,Push notifications are annoying and there's no granular mute option. It's overwhelming.,3
ticket,"My tasks vanish after syncing, this is the third time. Losing trust fast.",2
review,"Getting started was seamless, the tutorial is excellent. Great job!",5
review,"The setup wizard was so easy, I had everything running in five minutes. Best onboarding I've seen.",5
review,"Loads instantly even with hundreds of tasks, very impressed. Recommending to friends.",4
survey,"The setup wizard was so easy, I had everything running in five minutes. Well done team.",5
ticket,Push notifications are annoying and there's no granular mute option. It's overwhelming.,2
review,"Smooth and reliable on my old phone, well optimized. No complaints.",4
survey,"Search can't find items in archived projects, please add that. This is my top request.",4
survey,Why did my price go up without any notice? Very confusing.,2
survey,The welcome checklist made setup intuitive even for my partner. Great job!,4
review,"Search can't find items in archived projects, please add that. Otherwise loving it.",3
survey,Got charged twice this month and can't find where to see my invoices. Support hasn't replied.,3
review,"Loads instantly even with hundreds of tasks, very impressed. No complaints.",4
survey,"The reminder emails are relentless, let me control the frequency. Needs work.",3
survey,Push notifications are annoying and there's no granular mute option. It's overwhelming.,2
survey,Signed up yesterday and I'm already fully set up. Great first experience. Impressed so far.,5
review,"The setup wizard was so easy, I had everything running in five minutes. Keep it up.",5
ticket,"My tasks vanish after syncing, this is the third time. Please fix this!",2
review,"The app is noticeably faster after the update, great work. No complaints.",4
survey,The welcome checklist made setup intuitive even for my partner. Great job!,4
review,Sync failed again and I lost my notes from yesterday. I might cancel my subscription.,1
survey,Is there a student discount?,3
survey,Daily digest would be better than constant alerts. It's overwhelming.,3
review,"Fast, clean, and it just works. Recommending to friends.",5
ticket,Sync failed again and I lost my notes from yesterday. Losing trust fast.,1
survey,Signed up yesterday and I'm already fully set up. Great first experience. Great job!,5
ticket,Daily digest would be better than constant alerts. Otherwise good product.,3
survey,Please add global search across all workspaces. Hope this is on the roadmap.,3
review,Sync failed again and I lost my notes from yesterday. I might cancel my subscription.,2
survey,"The billing page is impossible to navigate, I just want a refund. Make pricing simpler.",2
survey,"The setup wizard was so easy, I had everything running in five minutes. Keep it up.",4
review,"Fast, clean, and it just works. Recommending to friends.",4
review,"Search is too basic, no fuzzy matching so typos return nothing. Would make it perfect.",3
ticket,"I want notifications for mentions only, not everything. Needs work.",4
survey,Does this integrate with my smart fridge?,
survey,Signed up yesterday and I'm already fully set up. Great first experience. Well done team.,4
review,"Would love filters in search — by date, by person, by tag. Would make it perfect.",3
review,"Loads instantly even with hundreds of tasks, very impressed. Keep it up!",5
survey,I don't understand what the premium plan actually includes. Make pricing simpler.,1
review,"Search is too basic, no fuzzy matching so typos return nothing. Hope this is on the roadmap.",3
ticket,Sync failed again and I lost my notes from yesterday. This is unacceptable.,2
survey,Got charged twice this month and can't find where to see my invoices. Not happy about this.,3
survey,"The setup wizard was so easy, I had everything running in five minutes. Great job!",4
review,"Sync conflict destroyed my shopping list, no way to recover it. This is unacceptable.",1
survey,Push notifications are annoying and there's no granular mute option. Needs work.,4
survey,Why did my price go up without any notice? Not happy about this.,2
ticket,"I want notifications for mentions only, not everything. Otherwise good product.",2
survey,Push notifications are annoying and there's no granular mute option. It's overwhelming.,3
review,"I want notifications for mentions only, not everything. Considering turning them all off.",4
review,"Smooth and reliable on my old phone, well optimized. Keep it up!",4
survey,I don't understand what the premium plan actually includes. Please clarify.,1
survey,Love how the onboarding walks you through creating your first project. Great job!,4
ticket,I don't understand what the premium plan actually includes. Not happy about this.,1
review,Daily digest would be better than constant alerts. Otherwise good product.,3
review,Daily digest would be better than constant alerts. It's overwhelming.,4
survey,Got charged twice this month and can't find where to see my invoices. Very confusing.,2
review,Signed up yesterday and I'm already fully set up. Great first experience. Great job!,4
ticket,The mobile app keeps losing my data when I sync between devices. This is unacceptable.,1
ticket,The difference between the family plan and duo plan is confusing. Not happy about this.,3
survey,The logo colors look different on Android.,
survey,Is there a student discount?,4
review,"Getting started was seamless, the tutorial is excellent. Keep it up.",5
review,"Sync conflict destroyed my shopping list, no way to recover it. I might cancel my subscription.",2
survey,"I want notifications for mentions only, not everything. Please add settings for this.",4
review,Please add global search across all workspaces. Would make it perfect.,3
survey,"The setup wizard was so easy, I had everything running in five minutes. Well done team.",4
survey,Daily digest would be better than constant alerts. It's overwhelming.,4
review,Please add global search across all workspaces. Happy to beta test.,4
ticket,The difference between the family plan and duo plan is confusing. Make pricing simpler.,1
review,"Smooth and reliable on my old phone, well optimized. Five stars.",4
survey,"Search results ordering makes no sense, newest should come first. This is my top request.",4
survey,"The setup wizard was so easy, I had everything running in five minutes. Impressed so far.",5
survey,"Would love filters in search — by date, by person, by tag. This is my top request.",4
survey,Signed up yesterday and I'm already fully set up. Great first experience. Well done team.,5
survey,Why did my price go up without any notice? Support hasn't replied.,1
review,Signed up yesterday and I'm already fully set up. Great first experience. Well done team.,4
ticket,Sync failed again and I lost my notes from yesterday. Really frustrating.,2
review,Performance is excellent compared to the competitors I tried. Recommending to friends.,4
ticket,"Calendar sync is broken since the last update, events just disappear. Please fix this!",2
survey,Signed up yesterday and I'm already fully set up. Great first experience. Impressed so far.,5
survey,"Search is too basic, no fuzzy matching so typos return nothing. Otherwise loving it.",4
survey,First!,
review,Please add global search across all workspaces. Hope this is on the roadmap.,3
survey,"Search can't find items in archived projects, please add that. Otherwise loving it.",4
review,"The reminder emails are relentless, let me control the frequency. Considering turning them all off.",2
review,"Search can't find items in archived projects, please add that. This is my top request.",4
review,"Loads instantly even with hundreds of tasks, very impressed. No complaints.",4
ticket,"Sync conflict destroyed my shopping list, no way to recover it. Really frustrating.",2
survey,The welcome checklist made setup intuitive even for my partner. Best onboarding I've seen.,4
review,Love how the onboarding walks you through creating your first project. Impressed so far.,4
survey,Why did my price go up without any notice? Support hasn't replied.,2
review,The welcome checklist made setup intuitive even for my partner. Keep it up.,4
survey,"Search results ordering makes no sense, newest should come first. Otherwise loving it.",3
survey,I don't understand what the premium plan actually includes. Very confusing.,3
survey,The welcome checklist made setup intuitive even for my partner. Well done team.,4
ticket,Got charged twice this month and can't find where to see my invoices. Very confusing.,3
review,Performance is excellent compared to the competitors I tried. Solid app.,4
ticket,Got charged twice this month and can't find where to see my invoices. Support hasn't replied.,1
survey,Why did my price go up without any notice? Support hasn't replied.,2
survey,"The reminder emails are relentless, let me control the frequency. Needs work.",3
survey,Daily digest would be better than constant alerts. It's overwhelming.,3
review,"Sync conflict destroyed my shopping list, no way to recover it. This is unacceptable.",2
survey,"Search is too basic, no fuzzy matching so typos return nothing. Hope this is on the roadmap.",3
ticket,Got charged twice this month and can't find where to see my invoices. Make pricing simpler.,2
ticket,The mobile app keeps losing my data when I sync between devices. Please fix this!,1
ticket,Sync failed again and I lost my notes from yesterday. Losing trust fast.,1
review,"Search results ordering makes no sense, newest should come first. Hope this is on the roadmap.",4
survey,"Getting started was seamless, the tutorial is excellent. Best onboarding I've seen.",4
survey,"The setup wizard was so easy, I had everything running in five minutes. Great job!",5
review,Signed up yesterday and I'm already fully set up. Great first experience. Great job!,4
review,"The setup wizard was so easy, I had everything running in five minutes. Impressed so far.",4
review,Love how the onboarding walks you through creating your first project. Best onboarding I've seen.,4
survey,The welcome checklist made setup intuitive even for my partner. Well done team.,4
survey,"Search results ordering makes no sense, newest should come first. Hope this is on the roadmap.",4
ticket,The mobile app keeps losing my data when I sync between devices. Really frustrating.,1
ticket,"My tasks vanish after syncing, this is the third time. Please fix this!",1
review,The mobile app keeps losing my data when I sync between devices. Please fix this!,2
review,"Fast, clean, and it just works. Recommending to friends.",5
survey,"Would love filters in search — by date, by person, by tag. Hope this is on the roadmap.",4
survey,Signed up yesterday and I'm already fully set up. Great first experience. Well done team.,4
survey,The difference between the family plan and duo plan is confusing. Please clarify.,1
ticket,"Sync conflict destroyed my shopping list, no way to recover it. I might cancel my subscription.",1
review,The mobile app keeps losing my data when I sync between devices. Please fix this!,1
ticket,"Sync conflict destroyed my shopping list, no way to recover it. I might cancel my subscription.",2
survey,I don't understand what the premium plan actually includes. Not happy about this.,3
survey,"The billing page is impossible to navigate, I just want a refund. Make pricing simpler.",1
review,"Search can't find items in archived projects, please add that. This is my top request.",4
review,"Search can't find items in archived projects, please add that. This is my top request.",3
review,"Search is too basic, no fuzzy matching so typos return nothing. Would make it perfect.",3
survey,"Would love filters in search — by date, by person, by tag. This is my top request.",4
survey,"Search results ordering makes no sense, newest should come first. Hope this is on the roadmap.",3
survey,Please add global search across all workspaces. Hope this is on the roadmap.,3
ticket,The mobile app keeps losing my data when I sync between devices. Really frustrating.,2
survey,I don't understand what the premium plan actually includes. Very confusing.,3
review,"Calendar sync is broken since the last update, events just disappear. I might cancel my subscription.",1
ticket,"Sync conflict destroyed my shopping list, no way to recover it. Please fix this!",2
survey,Push notifications are annoying and there's no granular mute option. Needs work.,2
survey,Why did my price go up without any notice? Support hasn't replied.,2
survey,"Search results ordering makes no sense, newest should come first. Would make it perfect.",3
ticket,Got charged twice this month and can't find where to see my invoices. Not happy about this.,1
review,Push notifications are annoying and there's no granular mute option. Considering turning them all off.,4
review,Please add global search across all workspaces. Happy to beta test.,4
ticket,Sync failed again and I lost my notes from yesterday. This is unacceptable.,2
survey,"The billing page is impossible to navigate, I just want a refund. Very confusing.",3
review,Daily digest would be better than constant alerts. Please add settings for this.,2
review,"The setup wizard was so easy, I had everything running in five minutes. Impressed so far.",4
survey,"I want notifications for mentions only, not everything. Please add settings for this.",2
review,"Smooth and reliable on my old phone, well optimized. Solid app.",4
review,Love how the onboarding walks you through creating your first project. Impressed so far.,5
ticket,"The billing page is impossible to navigate, I just want a refund. Very confusing.",3
review,Signed up yesterday and I'm already fully set up. Great first experience. Impressed so far.,4
ticket,Got charged twice this month and can't find where to see my invoices. Make pricing simpler.,3
ticket,Why did my price go up without any notice? Not happy about this.,2
review,The logo colors look different on Android.,2
survey,"Getting started was seamless, the tutorial is excellent. Well done team.",5
review,"Fast, clean, and it just works. Five stars.",4
ticket,"The billing page is impossible to navigate, I just want a refund. Not happy about this.",2
survey,Push notifications are annoying and there's no granular mute option. Considering turning them all off.,2
review,"Calendar sync is broken since the last update, events just disappear. This is unacceptable.",2
survey,The difference between the family plan and duo plan is confusing. Make pricing simpler.,3
review,Please add global search across all workspaces. This is my top request.,4
review,"Loads instantly even with hundreds of tasks, very impressed. No complaints.",5
ticket,"Way too many notifications, I get pinged for every tiny update. Please add settings for this.",4
survey,"Way too many notifications, I get pinged for every tiny update. Needs work.",4
review,Please add global search across all workspaces. Hope this is on the roadmap.,4
review,Push notifications are annoying and there's no granular mute option. Considering turning them all off.,4
survey,"The billing page is impossible to navigate, I just want a refund. Make pricing simpler.",3
review,Is there a student discount?,
review,Please add global search across all workspaces. Otherwise loving it.,4
survey,Why did my price go up without any notice? Very confusing.,1
ticket,"Just downloaded the app, will report back.",5
review,The mobile app keeps losing my data when I sync between devices. Please fix this!,2
ticket,"My tasks vanish after syncing, this is the third time. Really frustrating.",2
ticket,Got charged twice this month and can't find where to see my invoices. Please clarify.,2
survey,Daily digest would be better than constant alerts. It's overwhelming.,3
survey,Love how the onboarding walks you through creating your first project. Well done team.,4
review,"Sync conflict destroyed my shopping list, no way to recover it. Really frustrating.",1
ticket,"The reminder emails are relentless, let me control the frequency. Considering turning them all off.",3
survey,"Way too many notifications, I get pinged for every tiny update. Needs work.",4
review,Please add global search across all workspaces. Would make it perfect.,3
ticket,"My tasks vanish after syncing, this is the third time. Losing trust fast.",1
survey,Push notifications are annoying and there's no granular mute option. Please add settings for this.,2
